""
"Indicator name: Methane (CH4) emissions, per capita  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: CH4 emission divided by the population expressed in kilogram per capita. CH4 emission is estimated using a model from the National Institute for Public Health and the Environment, the Netherlands (RIVM) by the following EDGAR divisions: energy, agriculture, waste and others. Others include industrial process emissions, nitrous oxide usage and tropical and temperate forest fires."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1970","46.00"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1971","46.72"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1972","46.27"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1973","45.29"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1974","44.54"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1975","44.93"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1976","44.52"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1977","44.31"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1978","43.94"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1979","43.18"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1980","42.32"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1981","41.35"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1982","41.23"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1983","41.58"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1984","41.79"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1985","41.10"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1986","41.12"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1987","40.99"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1988","41.09"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1989","41.59"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1990","41.94"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1991","41.16"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1992","40.48"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1993","39.70"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1994","39.95"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1995","41.70"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1996","42.05"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1997","40.72"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1998","40.22"
"Methane (CH4) emissions, per capita (Kg per capita)","China","1999","39.82"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2000","39.12"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2001","39.21"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2002","40.25"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2003","42.27"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2004","45.88"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2005","48.42"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2006","50.52"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2007","52.11"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2008","55.17"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2009","56.50"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2010","58.31"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2011","59.94"
"Methane (CH4) emissions, per capita (Kg per capita)","China","2012","61.56"
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1961","254109.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1962","256115.15"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1963","267398.78"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1964","288531.02"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1965","301524.32"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1966","319792.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1967","322913.25"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1968","326143.65"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1969","332613.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1970","344515.63"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1971","361773.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1972","372349.99"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1973","378430.48"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1974","379970.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1975","390269.94"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1976","392629.14"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1977","400737.28"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1978","411893.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1979","422825.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1980","437722.53"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1981","431951.97"
