""
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1961","254109.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1962","256115.15"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1963","267398.78"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1964","288531.02"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1965","301524.32"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1966","319792.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1967","322913.25"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1968","326143.65"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1969","332613.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1970","344515.63"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1971","361773.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1972","372349.99"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1973","378430.48"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1974","379970.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1975","390269.94"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1976","392629.14"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1977","400737.28"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1978","411893.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1979","422825.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1980","437722.53"
